source_file,name,shop_id,rating,review_count,avg_price,category,area,recommended_dishes,has_group_buy,has_promotion,detail_url
debug_page_3.html,上好余味·20年家庭厨房(新街口店),ESgfeYKnyRWgqNy6,3.5星,6336,￥80,私房菜,新街口地区,山楂话梅排骨 | 总裁炒饭 | 鱿鱼海鲜炒饭,否,否,https://www.dianping.com/shop/ESgfeYKnyRWgqNy6
debug_page_3.html,里山四季中餐厅(来凤街店),l84LLElAl51TgZDG,3.5星,2357,￥115,快餐简餐,升州路/集庆路,黑松露走地鸡 | 鱼头佛跳墙 | 有机蚕豆蜂窝烩,否,否,https://www.dianping.com/shop/l84LLElAl51TgZDG
debug_page_3.html,No Worries·brunch&bistro(石婆婆庵店),l89EHp33Mm3sEh86,4.5星,7370,￥120,西餐,珠江路沿线,班尼迪克蛋 | 莓果法式吐司 | 悉尼西瓜草莓蛋糕,是,否,https://www.dianping.com/shop/l89EHp33Mm3sEh86
debug_page_3.html,寻魏随园·南京菜(老门东店),H7IyNny2NLHhaU79,5.0星,6657,￥117,南京/江浙菜,夫子庙地区,鸡汤捞扬州干丝 | 松鼠大桂鱼 | 雨花石汤圆,是,否,https://www.dianping.com/shop/H7IyNny2NLHhaU79
debug_page_3.html,调鼎居·手工淮扬菜,H9EaNvh3OVL1CG2M,4.5星,8814,￥102,淮扬菜,新街口地区,淮安软兜 | 美极炝腰丝 | 厚海带黑猪红烧肉,是,是,https://www.dianping.com/shop/H9EaNvh3OVL1CG2M
debug_page_3.html,鮨極kiwami,kabYjn7QFaI0hN1r,5.0星,1067,￥1895,日本料理,山西路/湖南路,蓝鳍金枪鱼大脂 | 水果密瓜配海胆冰淇淋 | 炙烤活北极贝,是,否,https://www.dianping.com/shop/kabYjn7QFaI0hN1r
debug_page_3.html,南瓜食堂호박식당(莫愁路店),k6qdhlm1UcVd18f0,4.5星,5681,￥132,韩式烤肉,莫愁湖/水西门,南瓜粥 | 蜜香五花肉 | 特牛隔膜,是,否,https://www.dianping.com/shop/k6qdhlm1UcVd18f0
debug_page_3.html,秀·爱尔兰餐吧(上海路店),H9FDs4rS651uu5Ex,4.5星,2225,￥129,牛排,南大/南师大,蒜香黄油法包 | 奥尔良鸡肉披萨 | 炭烤菲力牛排佐黑胡椒汁,是,否,https://www.dianping.com/shop/H9FDs4rS651uu5Ex
debug_page_4.html,BROWNSTONE布朗石西班牙餐厅(紫峰店),G66dABaYjmwTzxSq,5.0星,7569,￥150,西餐,南大/南师大,西班牙传统土豆饼 | 牛肝菌奶油蘑菇汤 | 伊比利亚绿标火腿后腿24月,是,是,https://www.dianping.com/shop/G66dABaYjmwTzxSq
debug_page_4.html,山姆墨西哥餐厅(D9街区店),l7MgKU9nWfta3s1j,4.0星,4493,￥68,西餐,总统府/1912商圈,墨西哥馅饼 | 墨西哥脆皮塔可 | 墨西哥牛肉卷,是,否,https://www.dianping.com/shop/l7MgKU9nWfta3s1j
